"scenario","run","seed","model","precision","recall","f1","accuracy","true_negatives","false_positives","false_negatives","true_positives","roc_auc","pr_auc","best_threshold","best_precision","best_recall","best_f1","best_true_negatives","best_false_positives","best_false_negatives","best_true_positives","label_source","evaluation_mode","train_samples"
"balanced","1","1001","ocsvm","0.359116022099448","1","0.528455284552846","0.562264150943396","168","232","0","130","1","1","6.07389489311818","1","1","1","400","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","1","1001","lof","0.350404312668464","1","0.518962075848303","0.545283018867925","159","241","0","130","0.999846153846154","0.999526585196139","0.845123757098384","0.984848484848485","1","0.99236641221374","398","2","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","1","1001","ensemble_majority_vote","0.342105263157895","1","0.509803921568627","0.528301886792453","150","250","0","130","1","1","2.36761918930154","1","1","1","400","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","1","1001","isolation_forest_tuned","0.339425587467363","1","0.50682261208577","0.522641509433962","147","253","0","130","0.956826923076923","0.804693273805805","0.133232280632965","0.830985915492958","0.907692307692308","0.867647058823529","376","24","12","118","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","1","1001","isolation_forest","0.336787564766839","1","0.503875968992248","0.516981132075472","144","256","0","130","0.955653846153846","0.773707880242898","0.164722721985581","0.8125","1","0.896551724137931","370","30","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","2","1002","lof","0.357142857142857","1","0.526315789473684","0.558490566037736","166","234","0","130","0.999576923076923","0.998706893085834","1.05364982015212","0.970149253731343","1","0.984848484848485","396","4","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","2","1002","isolation_forest_tuned","0.342105263157895","1","0.509803921568627","0.528301886792453","150","250","0","130","0.978673076923077","0.886569190856987","0.138614085634262","0.902777777777778","1","0.948905109489051","386","14","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","2","1002","ensemble_majority_vote","0.342105263157895","1","0.509803921568627","0.528301886792453","150","250","0","130","0.999923076923077","0.999761450157667","2.39712930090265","0.99236641221374","1","0.996168582375479","399","1","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","2","1002","isolation_forest","0.341207349081365","1","0.50880626223092","0.526415094339623","149","251","0","130","0.998230769230769","0.994155568629329","0.173990582127419","0.962962962962963","1","0.981132075471698","395","5","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","2","1002","ocsvm","0.337662337662338","1","0.504854368932039","0.518867924528302","145","255","0","130","1","1","5.93771462243799","1","1","1","400","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","3","1003","lof","0.401234567901235","1","0.572687224669604","0.633270321361059","205","194","0","130","0.999961442066705","0.999881649801763","0.519343171792732","0.99236641221374","1","0.996168582375479","398","1","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","3","1003","ocsvm","0.401234567901235","1","0.572687224669604","0.633270321361059","205","194","0","130","1","1","6.20514140751854","1","1","1","399","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","3","1003","isolation_forest_tuned","0.373563218390805","1","0.543933054393305","0.587901701323251","181","218","0","130","0.978619625988047","0.858837587699239","0.126580042727191","0.902777777777778","1","0.948905109489051","385","14","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","3","1003","ensemble_majority_vote","0.372492836676218","1","0.542797494780793","0.586011342155009","180","219","0","130","1","1","2.29744690944016","1","1","1","399","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","3","1003","isolation_forest","0.366197183098592","1","0.536082474226804","0.574669187145558","174","225","0","130","0.977424330055909","0.828531338534928","0.156315686439258","0.89041095890411","1","0.942028985507246","383","16","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","4","1004","lof","0.471014492753623","1","0.640394088669951","0.724528301886792","254","146","0","130","0.999096153846154","0.99706999505338","0.260045481306161","0.977272727272727","0.992307692307692","0.984732824427481","397","3","1","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","4","1004","ensemble_majority_vote","0.39039039039039","1","0.561555075593952","0.616981132075472","197","203","0","130","0.999980769230769","0.999941054248159","2.2877960292255","0.99236641221374","1","0.996168582375479","399","1","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","4","1004","isolation_forest","0.369318181818182","1","0.539419087136929","0.581132075471698","178","222","0","130","0.998","0.993631175227061","0.141989352593447","0.962686567164179","0.992307692307692","0.977272727272727","395","5","1","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","4","1004","ocsvm","0.369318181818182","1","0.539419087136929","0.581132075471698","178","222","0","130","1","1","6.52339737264287","1","1","1","400","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","4","1004","isolation_forest_tuned","0.361111111111111","1","0.530612244897959","0.566037735849057","170","230","0","130","0.969423076923077","0.844245770890841","0.120587620737576","0.833333333333333","1","0.909090909090909","374","26","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","5","1005","lof","0.570175438596491","1","0.726256983240223","0.815442561205273","303","98","0","130","0.997813159409169","0.994346827266837","0.41276937860598","0.992063492063492","0.961538461538462","0.9765625","400","1","5","125","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","5","1005","ensemble_majority_vote","0.462633451957295","1","0.632603406326034","0.715630885122411","250","151","0","130","1","1","2.28244931078434","1","1","1","401","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
