scenario,model,true_negatives,false_positives,false_negatives,true_positives
aggressive,ensemble_majority_vote,84.2,124.8,0.0,203.8
aggressive,isolation_forest,73.4,135.6,0.0,203.8
aggressive,isolation_forest_tuned,76.0,133.0,0.0,203.8
aggressive,lof,165.0,44.0,17.8,186.0
aggressive,ocsvm,75.4,133.6,0.0,203.8
aggressive,rule_based_baseline,108.8,100.2,0.0,203.8
balanced,ensemble_majority_vote,71.8,77.4,0.0,53.0
balanced,isolation_forest,60.2,89.0,0.0,53.0
balanced,isolation_forest_tuned,60.0,89.2,0.0,53.0
balanced,lof,84.8,64.4,6.0,47.0
balanced,ocsvm,66.0,83.2,0.0,53.0
balanced,rule_based_baseline,62.6,86.6,0.0,53.0
burst-traffic,ensemble_majority_vote,119.0,139.0,2.0,69.8
burst-traffic,isolation_forest,125.0,133.0,3.2,68.6
burst-traffic,isolation_forest_tuned,126.6,131.4,3.6,68.2
burst-traffic,lof,112.6,145.4,1.6,70.2
burst-traffic,ocsvm,120.2,137.8,2.6,69.2
burst-traffic,rule_based_baseline,125.8,132.2,0.6,71.2
credential-stuffing,ensemble_majority_vote,80.8,149.6,0.0,341.8
credential-stuffing,isolation_forest,74.0,156.4,0.0,341.8
credential-stuffing,isolation_forest_tuned,74.2,156.2,0.0,341.8
credential-stuffing,lof,201.6,28.8,56.4,285.4
credential-stuffing,ocsvm,68.8,161.6,0.0,341.8
credential-stuffing,rule_based_baseline,135.4,95.0,0.0,341.8
endpoint-scanning,ensemble_majority_vote,122.6,163.4,0.0,139.8
endpoint-scanning,isolation_forest,121.4,164.6,39.4,100.4
endpoint-scanning,isolation_forest_tuned,122.0,164.0,65.0,74.8
endpoint-scanning,lof,124.8,161.2,0.0,139.8
endpoint-scanning,ocsvm,121.4,164.6,0.0,139.8
endpoint-scanning,rule_based_baseline,131.2,154.8,1.6,138.2
mixed-attacks,ensemble_majority_vote,157.4,254.4,0.2,207.2
mixed-attacks,isolation_forest,155.8,256.0,0.4,207.0
mixed-attacks,isolation_forest_tuned,154.8,257.0,0.4,207.0
mixed-attacks,lof,160.2,251.6,1.4,206.0
mixed-attacks,ocsvm,161.4,250.4,0.0,207.4
mixed-attacks,rule_based_baseline,231.4,180.4,1.8,205.6
mostly-normal,ensemble_majority_vote,199.8,80.0,0.0,41.6
mostly-normal,isolation_forest,192.0,87.8,0.0,41.6
mostly-normal,isolation_forest_tuned,187.8,92.0,0.0,41.6
mostly-normal,lof,206.0,73.8,0.0,41.6
mostly-normal,ocsvm,189.0,90.8,0.0,41.6
mostly-normal,rule_based_baseline,259.8,20.0,0.0,41.6
slow-brute-force,ensemble_majority_vote,288.0,149.0,0.0,161.6
slow-brute-force,isolation_forest,279.6,157.4,0.0,161.6
slow-brute-force,isolation_forest_tuned,278.2,158.8,0.0,161.6
slow-brute-force,lof,293.0,144.0,0.0,161.6
slow-brute-force,ocsvm,250.4,186.6,0.0,161.6
slow-brute-force,rule_based_baseline,355.6,81.4,0.0,161.6
