
scenario            model            runs f1_mean f1_std roc_auc_mean roc_auc_std pr_auc_mean pr_auc_std best_f1_mean
--------            -----            ---- ------- ------ ------------ ----------- ----------- ---------- ------------
aggressive          lof                10 0.7600  0.0773 0.9890       0.0037      0.9875      0.0039     0.9530      
aggressive          ocsvm              10 0.7219  0.0348 0.9999       0.0002      0.9999      0.0003     0.9978      
aggressive          isolation_forest   10 0.7018  0.0077 0.9969       0.0078      0.9877      0.0306     0.9954      
balanced            lof                10 0.6010  0.0899 0.9892       0.0167      0.9859      0.0184     0.9724      
balanced            ocsvm              10 0.5688  0.0574 1.0000       0.0000      1.0000      0.0000     1.0000      
balanced            isolation_forest   10 0.5296  0.0277 0.9991       0.0021      0.9937      0.0174     0.9943      
burst-traffic       lof                10 0.4839  0.0805 0.9839       0.0180      0.9798      0.0196     0.9808      
burst-traffic       ocsvm              10 0.4683  0.0632 0.9827       0.0177      0.9745      0.0208     0.9672      
burst-traffic       isolation_forest   10 0.4354  0.0249 0.7756       0.1722      0.2983      0.1062     0.7151      
credential-stuffing lof                10 0.8124  0.0626 0.9271       0.1099      0.9305      0.1161     0.8993      
credential-stuffing ocsvm              10 0.7705  0.0199 0.9998       0.0004      0.9998      0.0004     0.9997      
credential-stuffing isolation_forest   10 0.7642  0.0080 0.9999       0.0001      0.9999      0.0001     0.9988      
endpoint-scanning   lof                10 0.6188  0.0863 0.9926       0.0093      0.9885      0.0108     0.9650      
endpoint-scanning   ocsvm              10 0.5918  0.0578 0.9972       0.0032      0.9947      0.0054     0.9804      
endpoint-scanning   isolation_forest   10 0.3938  0.1509 0.4199       0.0353      0.2317      0.0099     0.5505      
mixed-attacks       lof                10 0.6107  0.0776 0.9705       0.0165      0.9557      0.0246     0.9100      
mixed-attacks       ocsvm              10 0.5935  0.0495 0.9969       0.0029      0.9947      0.0046     0.9791      
mixed-attacks       isolation_forest   10 0.5744  0.0277 0.9884       0.0088      0.9726      0.0319     0.9488      
mostly-normal       lof                10 0.5008  0.0478 0.9997       0.0003      0.9979      0.0021     0.9845      
mostly-normal       ocsvm              10 0.4761  0.0425 1.0000       0.0000      0.9999      0.0001     0.9990      
mostly-normal       isolation_forest   10 0.4585  0.0188 0.9993       0.0012      0.9876      0.0260     0.9886      
slow-brute-force    lof                10 0.6285  0.0878 0.9925       0.0044      0.9726      0.0140     0.9537      
slow-brute-force    ocsvm              10 0.6251  0.0819 0.9999       0.0001      0.9997      0.0003     0.9982      
slow-brute-force    isolation_forest   10 0.5652  0.0628 0.9990       0.0009      0.9951      0.0047     0.9940      



