model,feature,importance
rule_based_baseline,request_rate,0.10449875729434037
rule_based_baseline,requests_per_window,0.10449875729434033
rule_based_baseline,login_attempts,0.09852219538779454
rule_based_baseline,post_requests,0.09852219538779454
rule_based_baseline,failed_logins,0.0913352905213357
rule_based_baseline,distinct_endpoints,0.0863454979670585
rule_based_baseline,unique_user_agents,0.08616521036573503
rule_based_baseline,failed_login_ratio,0.08316835387453551
rule_based_baseline,login_ratio,0.06698309648004083
rule_based_baseline,error_requests,0.06582143613106338
rule_based_baseline,successful_requests,0.06436537177925539
rule_based_baseline,error_ratio,0.04138234062803966
rule_based_baseline,successful_logins,0.00839149688866623
isolation_forest,failed_login_ratio,0.14791743779844527
isolation_forest,login_ratio,0.12522250934801726
isolation_forest,failed_logins,0.11841765557183337
isolation_forest,login_attempts,0.10449941415394448
isolation_forest,post_requests,0.10449941415394448
isolation_forest,error_requests,0.09934425188372376
isolation_forest,error_ratio,0.09221945796340801
isolation_forest,successful_requests,0.07978081578988631
isolation_forest,successful_logins,0.07228648247896813
isolation_forest,unique_user_agents,0.03069808491924326
isolation_forest,distinct_endpoints,0.014142515091337573
isolation_forest,requests_per_window,0.0054859804236241224
isolation_forest,request_rate,0.005485980423624117
isolation_forest_tuned,failed_login_ratio,0.14161333643276847
isolation_forest_tuned,login_ratio,0.12325005544803785
isolation_forest_tuned,failed_logins,0.11678381047185145
isolation_forest_tuned,login_attempts,0.10180050838819829
isolation_forest_tuned,post_requests,0.10180050838819829
isolation_forest_tuned,error_requests,0.09596513774409815
isolation_forest_tuned,successful_requests,0.09371263052693113
isolation_forest_tuned,error_ratio,0.08899106395620239
isolation_forest_tuned,successful_logins,0.07578847792590221
isolation_forest_tuned,unique_user_agents,0.045636614459729455
isolation_forest_tuned,requests_per_window,0.0067410514693616195
isolation_forest_tuned,request_rate,0.006741051469361599
isolation_forest_tuned,distinct_endpoints,0.0011757533193590469
lof,failed_logins,0.14113309383496947
lof,login_attempts,0.12792491792932698
lof,post_requests,0.12792491792932698
lof,failed_login_ratio,0.10942546528115221
lof,login_ratio,0.103937540860355
lof,error_requests,0.09613228854109077
lof,successful_logins,0.07405548539414017
lof,error_ratio,0.06885641032058488
lof,successful_requests,0.06264362157201786
lof,request_rate,0.02837815091856406
lof,requests_per_window,0.02837815091856405
lof,distinct_endpoints,0.025789676686128495
lof,unique_user_agents,0.00542027981377895
ocsvm,failed_login_ratio,0.13411552567782362
ocsvm,login_ratio,0.11472715298214117
ocsvm,failed_logins,0.11347700364267699
ocsvm,login_attempts,0.10570813926256821
ocsvm,post_requests,0.10570813926256821
ocsvm,error_requests,0.09878806733704619
ocsvm,error_ratio,0.08454340506733507
ocsvm,distinct_endpoints,0.05668807376745031
ocsvm,successful_logins,0.04933929638873397
ocsvm,request_rate,0.04151840305592057
ocsvm,requests_per_window,0.04151840305592054
ocsvm,successful_requests,0.03213307199478139
ocsvm,unique_user_agents,0.02173531850503378
ensemble_majority_vote,failed_login_ratio,0.1278247890893325
ensemble_majority_vote,failed_logins,0.12263757604158376
ensemble_majority_vote,login_attempts,0.11296874428596684
ensemble_majority_vote,post_requests,0.11296874428596684
ensemble_majority_vote,login_ratio,0.11243216678338723
ensemble_majority_vote,error_requests,0.09853353310934536
ensemble_majority_vote,error_ratio,0.08050567761627671
ensemble_majority_vote,successful_logins,0.05787789568105103
ensemble_majority_vote,distinct_endpoints,0.04617786433088141
ensemble_majority_vote,successful_requests,0.043177491760725197
ensemble_majority_vote,requests_per_window,0.036530633456081485
ensemble_majority_vote,request_rate,0.036530633456081485
ensemble_majority_vote,unique_user_agents,0.011834250103320076
